Direction de la Pharmacie (1)
nom;forme;type;dosage
Abloom 10;;;
Acedip;;;
Acedip 105m mg/5 ml;Sp;Fl 120ml;105 mg/5 ml
Acetaminofen Alfa;;;
Aciclovir Alfa Co;;;
Acido folico;Sp;Fl de 120 ml;5 mg
Acido Folico Alfa 5 mg;;;
Acimox- C;;;
Acimox-C;Suspension Buvable;Fl de 100 ml;400 mg/57 mg
Acyclovir alfa;Cr. derm.;Tube de 5 g;0.05 g
Adacel;Susp. inj.;Vial de 0.5 ml (1 dose );5 mcg, 2.5 mcg, 3 mcg, 2 mcg, 5 mcg
Aerolin;Sp;Fl de 120 ml;2.4 mg
Aerolin Co;;;
Aerotrop 20;Aerosol;Fl de 250 doses ou bouffées;250 mg
Agglad ofteno;Collyre;Fl de 5 ml;2 mg
Albendazol 200 mg /5 ml;Susp. orale;Fl de 10 ml;200 mg
Albezole;;;
Alcovera;Poude pour Susp. Inj.;Bte de 1 Amp;1 g
Aldocumar;;;
Aldoderma;Cr. derm.;Tube 30 g;0.1 g, 0.35 g
Alergant;;;
Algifen;;;
Alka-AD;;;
ALKA-SELTZER 12;Co efferv;Boite de 12;324 mg/ 1976 mg/ 1000 mg
ALKA-SELTZER 60;Co efferv;Boite de 60;324 mg/ 1976 mg/ 1000 mg
Almacid;Co à croquer;Bte de 100;250 mg  /250 mg
Almacide;Co à croquer;Bte de 100;500 mg
Alpamet 850;Co enrobé;Bte de 100;850mg
Aluflat susp;Susp. orale;Fl de 360 ml;200 mg,200 mg,25 mg
Alugel Compositum;Susp. orale;Fl de 12 0z;250 mg,462 mg,10 mg
Alysena 21;;;
Amapine 10/160;;;
Amapine-5;;;
Amator 457;Suspension Buvable;Fl de 70ml;400 mg,57 mg
Amator 625;;;
Amcort 10;;;
Amiper-10;;;
Amiper-5;;;
Amizol;;;
Amloriv;;;
Amocor-10;;;
Amoxicilline;;;
Amoxicilline ( Troikaa pharma);;;
Amoxicilline 250;Suspension Buvable;Fl de 100 ml;289.895 mg
Amoxicilline Fl;;;
Amoxiclav-Denk 1000/125 mg;Poudre pour Susp orale;Bte de 8;1000 mg/125 mg
Amoxiclav-Denk 1000/125 mg (12 sachets);Poudre pour Susp orale;Boite de 12;1000 mg/125 mg
Amoxiclav-Denk 500/62.5;Co enrobé;Boite de 16;500 mg/62.5 mg
Ampicilline sodium;Susp. inj.;Boite de 50 vials;1 g
Ampidel-500;;;
Amva-Denk  5/160;;;
Amva-denk 10/160;Co pelliculé;Boite de 28;0.01 g, 0.16g
Amva-denk 5/80;;;
Amyn  Sp;Sp;Fl de 100 ml;250 mg
Amyn 250;Pdre pr Susp. orale;Fl de 100 ml;250/ 5 ml
Anastrozole Denk 1 mg;Co enrobé;Bte de 100;1 mg
Anergy;Sp;Fl 200 ml;450 mg,7 mcg, 6 mg ,150 mg,405 mg,3 mg,5 mg ,6 mg ,69 mg,8 mg
Angidol 1/0.25;;;
Anginova Pastilles;;;
Anhigot;Goutte Ophtalmique;Fl de 10 ml;20 mg, 5 mg
Antiflu-Des Forte;;;
AP0-CAPTO 50;;;
Ap0-Olanzapine;;;
Apetamin SP;Sp;Fl de 120 ml;2 mg,150 mg,200 mg
Apetonil Adulte;Sp;Fl 120ml;300 mg ,10 mg ,0.10 mg ,15 mg ,25 mg,10 mg
Apetonil Enfant;Sp;Fl 120ml;0.05 mg,15 mg,25 mg,300 mg,10 mg,10 mg,25 mg
Aplagrel bte de 10;;;
Aplagrel bte de 50;;;
Apo - Tramadol/Ace;;;
APO- Hydro 50;;;
APO- ibuprofen 400;;;
APO-ACYCLOVIR 200;;;
Apo-acétazolamide 250;;;
Apo-allopurinol 100 mg;;;
Apo-allopurinol 300 mg;;;
Apo-Amitriptyline;Co enrobé;Fl 1000;25 mg
Apo-amlodipine;;;
Apo-Bromazepam;;;
APO-CAPTO 25;;;
Apo-carvedilol;;;
Apo-Citalopram;;;
APO-Doxy;;;
Apo-Enalapril 10 mg;;;
Apo-Enalapril 20 mg;;;
Apo-Enalapril 5 mg;;;
Apo-Glyburide 5 mg;;;
Apo-Hydro 25;;;
Apo-Hydro 25 mg;;;
Apo-Hydro 50 mg;;;
APO-ISDN;;;
Apo-Ketoconazole;;;
Apo-kétoconazole;;;
Apo-Lisinopril (10 mg);;;
Apo-Lorazepam;;;
Apo-Meloxicam fl de 100;;;
Apo-Metformin 850;;;
Apo-Methyldopa;;;
Apo-Metronidazole 500;;;
Apo-Misoprostol;;;
Apo-métoprolol;;;
Apo-Napro-Na;;;
Apo-Naproxen;;;
Apo-Olanzapine;;;
Apo-Oméprazol;;;
Apo-Paroxetine Fl de 100;;;
Apo-Paroxétine;;;
Apo-Pentoxifylline SR;Co enrobé;Fl de 100;400 mg
Apo-Pioglitazone;;;
Apo-Piroxicam;;;
Apo-Pravastatin;;;
Apo-Prednisone;;;
Apo-prednisone 5 mg;;;
Apo-Rosuvastatin  20 mg;;;
APO-TAMOX 10;;;
APO-TAMOX 20;;;
Apo-Terbinafine  250 mg;;;
Apo-Tramadol/Acet;;;
Apo-Triazide;;;
Apo-valproic 250 mg;;;
Apo-valproic sp;Sp;Fl de 450 ml;50 mg/ml
Apo-Verap;;;
APO-WARFARIN;;;
artolev-500;Co enrobé;Bte de 20;500 mg
Asacor;;;
Ascoril Expectorant;Sp;Flacon de 100 ml;2 mg, 4 mg, 100 mg, 1 mg
Asmavit;Gtte orale;Boite de 10 plaquette de 10;25 mg,130 mg,10 mg
Aspiren Bte de 60;;;
Asur- 500;;;
Asur-500;;;
Atacand 8 mg;;;
Atacand plus;;;
Augmentin  (Bt de (14);;;
Augmentin 500/125;;;
Augmentin Susp;Pdre pr Susp. orale;Fl de 70ml;200 mg/28,5 mg
Avantar;Caplets;Boite de 30;100 mg
Avelox Bte de 5;;;
Axaban-Denk 2.5;;;
Axaban-Denk 5;;;
Axedyl-plus;Co enrobé;Boite de 12;33.3 mg ,166.60
Axedyl-plus Bte de 12;Co enrobé;Boite de 12;33.30 mg ,166.60 mg
Axoflox;;;
Azi 500 comprimé;;;
Azic 200;Susp. orale;Fl de 30 ml;200 mg/5 ml
Aziclar;;;
Azinix - 500;;;
Aziren 500;;;
Azithro-Denk 250;;;
Azithromycin farmatrix;Susp. orale;Fl de 30 ml;200 mg
B-tres dolo (Boite de 100);;;
B-Tres- Dolo;Sol. Inj;Boite de 2 ampoules + 1 seringue;100 mg, 100 mg, 5 mg, 10 mg
Bacantril;Ov. vag.;Boite de 14;100 mg/150 mg
Bactrim Forte;;;
Bactrim Suspension;Susp. orale;Fl de 100 ml;240 mg
Balsofort;Sp;Fl. de 60 ml;5 mg,30 mg
Balsoprim Plus;Suspension Buvable;Fl de 150 ml;15 mg,200 mg,40 mg / 5 ml
Balsoprim suspension;Susp. orale;Fl de 100 ml;133 mg,27 mg,2.5/5 ml
Bandil - 100;;;
